"","user_id","name","screen_name","location","description","followers_count","friends_count","listed_count","created_at","favourites_count","statuses_count","profile_image_url","timestamp","xuser_id"
"1","948796272957325312","Jack Sargeant AM","JackSargeantAM","Connah's Quay, Wales","Labour AM for #AlynandDeeside | jack.sargeant@assembly.wales",2494,100,23,2018-01-04 06:00:34,138,256,"http://pbs.twimg.com/profile_images/964567747853242368/AbGWkR6K_normal.jpg",2018-06-06 01:45:30,"x948796272957325312"
"2","946028862852431873","Mandy Jones AM","MandyJonesAM","North Wales | Cardiff Bay ","Aelod Cynulliad / Assembly Member for North Wales. All views expressed here are my own.",324,262,11,2017-12-27 14:43:52,801,314,"http://pbs.twimg.com/profile_images/974335219175223297/oKx4WL1x_normal.jpg",2018-06-06 01:45:30,"x946028862852431873"
"3","866941386595209216","David Melding","DavidMeldingAM","Cardiff, Wales","@WelshConserv.
Shadow Spokesman for Environment & Sustainability, Planning & Housing.
Assembly Member for South Wales Central.",1048,858,22,2017-05-23 08:58:28,622,580,"http://pbs.twimg.com/profile_images/998917848469680128/I0g_YDNS_normal.jpg",2018-06-06 01:45:30,"x866941386595209216"
"4","798544306365755392","Lynne Neagle","lynne_neagle","Torfaen","Labour AM for Torfaen. Chair of @SeneddCYPE Proud European and Remainer. RTs <U+2260> endorsements. Email lynne.neagle@assembly.wales for help",1320,716,28,2016-11-15 15:12:53,2294,3927,"http://pbs.twimg.com/profile_images/906809818718994432/9m36iJwG_normal.jpg",2018-06-06 01:45:30,"x798544306365755392"
"5","729991259616587776","Gareth Bennett AM","GarethBennettAM","South Wales","UKIP Assembly Member for South Wales Central. Tweets by Gareth & team. For casework or media enquiries, contact Gareth.Bennett@Assembly.Wales",630,155,26,2016-05-10 11:07:33,161,585,"http://pbs.twimg.com/profile_images/975724823069511681/LoA9vVl2_normal.jpg",2018-06-06 01:45:30,"x729991259616587776"
"6","3869773815","David Rowlands AC/AM","DavidRowlandsAM","South East Wales","@UKIP Aelod Cynulliad DeCymru.Fy marn I'n unig a geir yma. / Assembly Member for South East Wales. All views expressed here are my own. RTs are not endorsements",1147,503,67,2015-10-05 09:25:00,1557,676,"http://pbs.twimg.com/profile_images/803762983209930752/CKCZahGT_normal.jpg",2018-06-06 01:45:30,"x3869773815"
"7","3795270447","Hefin David AC/AM","hef4caerphilly","Caerphilly, Wales ","Welsh Labour/ Llafur Cymru/ Assembly Member for Caerphilly/ Aelod Cynulliad dros Caerffili <f0><U+009F><U+008F><U+00B4><f3><U+00A0><U+0081><U+00A7><f3><U+00A0><U+0081><U+00A2><f3><U+00A0><U+0081><U+00B7><f3><U+00A0><U+0081><U+00AC><f3><U+00A0><U+0081><U+00B3><f3><U+00A0><U+0081><U+00BF> https://t.co/GCHiHlRc6s",2515,1300,51,2015-09-27 18:07:09,2503,2817,"http://pbs.twimg.com/profile_images/874210271186780160/hUwWpXET_normal.jpg",2018-06-06 01:45:30,"x3795270447"
"8","3727330336","Caroline Jones AC/AM","carolineUKIP","Wales, United Kingdom","@UKIP Aelod Cynulliad / Assembly Member for South West Wales Twitter account managed by Caroline & Team.",1468,297,72,2015-09-21 10:28:14,1570,2275,"http://pbs.twimg.com/profile_images/803707322820362240/P-lwS_7r_normal.jpg",2018-06-06 01:45:30,"x3727330336"
"9","3308117601","Dai Lloyd","DaiLloydAM","Swansea/ Abertawe","AC @Plaid_Cymru AM |
Snapchat: dailloydam |
Instagram: dailloyd_am |
https://t.co/b067Cbw7Al |
dai.lloyd@cynulliad.cymru",2651,1523,53,2015-06-04 13:01:12,215,1150,"http://pbs.twimg.com/profile_images/922513305020837889/H11bNFzG_normal.jpg",2018-06-06 01:45:30,"x3308117601"
"10","2956911832","Michelle Brown AM","MishBrownAM","North Wales","UKIP Assembly Member for North Wales.",823,13,47,2015-01-02 16:41:58,188,2216,"http://pbs.twimg.com/profile_images/754729677030293504/pQiirjHJ_normal.jpg",2018-06-06 01:45:30,"x2956911832"
"11","2476761393","Carwyn Jones AM/AC","AMCarwyn","Bridgend, Wales","Assembly Member for Bridgend. Leader of Welsh Labour. Aelod y Cynulliad dros Ben-y-bont. Arweinydd Llafur Cymru Personal Account/Cyfrif Personol",8131,954,122,2014-04-11 17:58:03,286,3447,"http://pbs.twimg.com/profile_images/909177754603704320/pg1Y8ExB_normal.jpg",2018-06-06 01:45:30,"x2476761393"
"12","2467530391","Joyce Watson AM","JoyceWatsonam","","Labour Assembly Member (AM) for Mid & West Wales | Personal Twitter | #welshlabour @welshlabour",2077,663,65,2014-04-28 10:07:41,3103,4368,"http://pbs.twimg.com/profile_images/730041261122531329/Jo7rUZfL_normal.jpg",2018-06-06 01:45:30,"x2467530391"
"13","1539233137","Neil Hamilton AC/AM","NeilUKIP","Cardiff, Wales","Leader of @UKIPWales. Mid & West Wales AM. Happily married to @brit_battleaxe. Chief of Staff: @Robin_HC1. Email: Neil.Hamilton@assembly.wales",10509,5129,258,2013-06-22 18:04:05,719,3201,"http://pbs.twimg.com/profile_images/923149035380396032/pFJF3iOk_normal.jpg",2018-06-06 01:45:30,"x1539233137"
"14","1371848690","John Griffiths AM","JGriffithsLab","Newport, Wales","Labour AM for Newport East",3118,1953,81,2013-04-22 10:53:53,547,1759,"http://pbs.twimg.com/profile_images/827190130893058050/iRRei93F_normal.jpg",2018-06-06 01:45:30,"x1371848690"
